id,seed1,seed2,comparison_type,jaccard_similarity,spearman_correlation,kendall_tau
7,3279,14593,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
7,3279,83811,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
7,3279,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
7,14593,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
7,14593,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
7,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
7,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,3279,14593,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
113,3279,83811,lime_top5_names,0.6666666666666666,0.7714285714285715,0.6
113,3279,97197,lime_top5_names,0.6666666666666666,0.7714285714285715,0.6
113,14593,83811,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
113,14593,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
113,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
113,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,3279,14593,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
145,3279,83811,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
145,3279,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
145,14593,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,14593,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
145,83811,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
145,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
145,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,3279,14593,lime_top5_names,0.6666666666666666,0.7714285714285715,0.6
212,3279,83811,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
212,3279,97197,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
212,14593,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
212,14593,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
212,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
212,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,3279,14593,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
287,3279,83811,lime_top5_names,1.0,0.7999999999999999,0.6
287,3279,97197,lime_top5_names,1.0,0.3,0.19999999999999998
287,14593,83811,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
287,14593,97197,lime_top5_names,1.0,0.49999999999999994,0.39999999999999997
287,83811,97197,lime_top5_names,1.0,0.7999999999999999,0.6
287,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
287,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,3279,14593,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
325,3279,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
325,3279,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
325,14593,83811,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
325,14593,97197,lime_top5_names,0.6666666666666666,0.7142857142857143,0.6
325,83811,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
325,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
325,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
390,3279,14593,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
390,3279,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
390,3279,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
390,14593,83811,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
390,14593,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
390,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
390,3279,14593,shap_top5_names,1.0,1.0,1.0
390,3279,83811,shap_top5_names,1.0,1.0,1.0
390,3279,97197,shap_top5_names,1.0,1.0,1.0
390,14593,83811,shap_top5_names,1.0,1.0,1.0
390,14593,97197,shap_top5_names,1.0,1.0,1.0
390,83811,97197,shap_top5_names,1.0,1.0,1.0
476,3279,14593,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,3279,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,3279,97197,lime_top5_names,1.0,0.7,0.6
476,14593,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,14593,97197,lime_top5_names,1.0,0.7,0.6
476,83811,97197,lime_top5_names,1.0,0.7,0.6
476,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
476,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
607,3279,14593,lime_top5_names,1.0,1.0,1.0
607,3279,83811,lime_top5_names,1.0,1.0,1.0
607,3279,97197,lime_top5_names,1.0,1.0,1.0
607,14593,83811,lime_top5_names,1.0,1.0,1.0
607,14593,97197,lime_top5_names,1.0,1.0,1.0
607,83811,97197,lime_top5_names,1.0,1.0,1.0
607,3279,14593,shap_top5_names,1.0,1.0,1.0
607,3279,83811,shap_top5_names,1.0,1.0,1.0
607,3279,97197,shap_top5_names,1.0,1.0,1.0
607,14593,83811,shap_top5_names,1.0,1.0,1.0
607,14593,97197,shap_top5_names,1.0,1.0,1.0
607,83811,97197,shap_top5_names,1.0,1.0,1.0
641,3279,14593,lime_top5_names,1.0,1.0,1.0
641,3279,83811,lime_top5_names,1.0,1.0,1.0
641,3279,97197,lime_top5_names,1.0,1.0,1.0
641,14593,83811,lime_top5_names,1.0,1.0,1.0
641,14593,97197,lime_top5_names,1.0,1.0,1.0
641,83811,97197,lime_top5_names,1.0,1.0,1.0
641,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
641,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
641,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
641,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
641,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
641,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,3279,14593,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,3279,83811,lime_top5_names,1.0,0.7999999999999999,0.6
659,3279,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
659,14593,83811,lime_top5_names,1.0,0.7999999999999999,0.6
659,14593,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
659,83811,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
659,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
659,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,3279,14593,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
746,3279,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,3279,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,14593,83811,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
746,14593,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
746,83811,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
746,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
