"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CLG2ANVA","journalArticle","2021","Ayoub, J.; Yang, X.J.; Zhou, F.","Combat COVID-19 infodemic using explainable natural language processing models","Information Processing and Management","","03064573 (ISSN)","10.1016/j.ipm.2021.102569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102851698&doi=10.1016%2fj.ipm.2021.102569&partnerID=40&md5=947a43e0ab4d3fcfbca3b0d3245f8461","Misinformation of COVID-19 is prevalent on social media as the pandemic unfolds, and the associated risks are extremely high. Thus, it is critical to detect and combat such misinformation. Recently, deep learning models using natural language processing techniques, such as BERT (Bidirectional Encoder Representations from Transformers), have achieved great successes in detecting misinformation. In this paper, we proposed an explainable natural language processing model based on DistilBERT and SHAP (Shapley Additive exPlanations) to combat misinformation about COVID-19 due to their efficiency and effectiveness. First, we collected a dataset of 984 claims about COVID-19 with fact-checking. By augmenting the data using back-translation, we doubled the sample size of the dataset and the DistilBERT model was able to obtain good performance (accuracy: 0.972; areas under the curve: 0.993) in detecting misinformation about COVID-19. Our model was also tested on a larger dataset for AAAI2021 — COVID-19 Fake News Detection Shared Task and obtained good performance (accuracy: 0.938; areas under the curve: 0.985). The performance on both datasets was better than traditional machine learning models. Second, in order to boost public trust in model prediction, we employed SHAP to improve model explainability, which was further evaluated using a between-subjects experiment with three conditions, i.e., text (T), text+SHAP explanation (TSE), and text+SHAP explanation+source and evidence (TSESE). The participants were significantly more likely to trust and share information related to COVID-19 in the TSE and TSESE conditions than in the T condition. Our results provided good implications for detecting misinformation about COVID-19 and improving public trust. © 2021 Elsevier Ltd","2021","2024-12-01 10:11:32","2024-12-14 18:55:00","","","","4","58","","Inf. Process. Manage.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","","","Deep learning; Learning algorithms; Natural language processing systems; BERT; Bidirectional encoder representation from transformer; Condition; COVID-19; Distilbert; DistilBERT; Misinformation detection; Natural languages; Performance; SHAP; Shapley; Shapley additive explanation; Trust; manual_BERT; manual_SHAP; manual_misinformation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT8UUNHH","conferencePaper","2021","Tafannum, F.; Sharear Shopnil, M.N.; Salsabil, A.; Ahmed, N.; Rabiul Alam, M.G.; Tanzim Reza, M.","Demystifying Black-box Learning Models of Rumor Detection from Social Media Posts","IEEE Annu. Ubiquitous Comput., Electron. Mob. Commun. Conf., UEMCON","978-166540690-1 (ISBN)","","10.1109/UEMCON53757.2021.9666567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125191948&doi=10.1109%2fUEMCON53757.2021.9666567&partnerID=40&md5=983ff74978be14c93e909ebb35f2585a","Social media and its users are vulnerable to the spread of rumors, therefore, protecting users from the spread of rumors is extremely important. For this reason, we propose a novel approach for rumor detection in social media that consists of multiple robust models: XGBoost Classifier, Support Vector Machine, Random Forest Classifier, Extra Tree Classifier, Decision Tree Classifier, a hybrid model, deep learning models-LSTM and BERT. For evaluation, two datasets are used. These artificial intelligence algorithms are often referred to as ""Blackbox""where data go in the box and predictions come out of the box but what is happening inside the box frequently remains cloudy. Although, there have been several works on detecting fake news, the number of works regarding rumor detection is still limited and the models used in the existing works do not explain their decision-making process. We take models with higher accuracy to illustrate which feature of the data contributes the most for a post to have been predicted as a rumor or a non-rumor by the models to explain the opaque process happening inside the black-box models. Our hybrid model achieves an accuracy of 93.22% and 82.49%, while LSTM provides 99.81%, 98.41% and BERT provides 99.62%, 94.80% accuracy scores on the COVID19 Fake News and the concatenation of Twitter15 and Twitter16 datasets respectively.  © 2021 IEEE.","2021","2024-12-01 10:11:32","2024-12-14 19:11:37","","358-364","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: IEEE Annu. Ubiquitous Comput., Electron. Mob. Commun. Conf., UEMCON","","","","Social media; Machine-learning; Deep learning; Learning models; Social networking (online); Deep Learning; Long short-term memory; Fake detection; Black boxes; Black-box; Decision trees; Detection; Explainable; Hybrid model; Machine Learning; Random forests; Robust modeling; Rumor; Support vector machines; manual_LSTM; manual_LIME; manual_troll","","Paul R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE 12th Annual Ubiquitous Computing, Electronics and Mobile Communication Conference, UEMCON 2021","","","","","","","","","","","","","","",""
"K8H8F8KB","journalArticle","2022","Ahmed, M.; Hossain, M.S.; Ul Islam, R.; Andersson, K.","Explainable Text Classification Model for COVID-19 Fake News Detection","Journal of Internet Services and Information Security","","21822069 (ISSN)","10.22667/JISIS.2022.05.31.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132973856&doi=10.22667%2fJISIS.2022.05.31.051&partnerID=40&md5=2214ddcd129a1e25a70c76417e50e0e8","Artificial intelligence has achieved notable advances across many applications, and the field is recently concerned with developing novel methods to explain machine learning models. Deep neural networks deliver the best performance accuracy in different domains, such as text categorization, image classification, and speech recognition. Since the neural network models are black-box types, they lack transparency and explainability in predicting results. During the COVID-19 pandemic, Fake News Detection is a challenging research problem as it endangers the lives of many online users by providing misinformation. Therefore, the transparency and explainability of COVID-19 fake news classification are necessary for building the trustworthiness of model prediction. We proposed an integrated LIME-BiLSTM model where BiLSTM assures classification accuracy, and LIME ensures transparency and explainability. In this integrated model, since LIME behaves similarly to the original model and explains the prediction, the proposed model becomes comprehensible. The performance of this model in terms of explainability is measured by using Kendall’s tau correlation coefficient. We also employ several machine learning models and provide a comparison of their performances. Therefore, we analyzed and compared the computation overhead of our proposed model with the other methods because the model takes the integrated strategy. © 2022, Innovative Information Science and Technology Research Group. All rights reserved.","2022","2024-12-01 10:11:31","2024-12-14 19:54:21","","51-69","","2","12","","J. Int. Ser. Info. Sec.","","","","","","","","English","","","Scopus","","","","Publisher: Innovative Information Science and Technology Research Group","","","","Explainable AI; fake news; LIME; COVID-19; BiLSTM; manual_LSTM; manual_LIME; manual_fake_news","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KJFW4EU","conferencePaper","2022","Nandini, D.; Schmid, U.","Explaining Hate Speech Classification with Model-Agnostic Methods","CEUR Workshop Proc.","16130073 (ISSN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171267300&partnerID=40&md5=58be35ae3e2ba6f423450275399f0309","There have been remarkable breakthroughs in Machine Learning (ML) and Artificial Intelligence (AI), notably in the areas of Natural Language Processing (NLP) and Deep Learning. Additionally, hate speech detection in dialogues has been gaining popularity among Natural Language Processing researchers with the increased use of social media. However, as evidenced by the recent trends, the need for the dimensions of explainability and interpretability in AI models has been deeply realised. Taking note of the factors above, the research goal of this paper is to bridge the gap between hate speech prediction and the explanations generated by the system to support its decision. This has been achieved by first predicting the classification of a text and then providing a post-hoc, model-agnostic and surrogate interpretability approach for explainability and to prevent model bias. The bidirectional transformer model BERT has been used for prediction because of its state-of-the-art efficiency over other Machine Learning(ML) models. The model-agnostic algorithm LIME generates explanations for the output of a trained classifier and predicts the features that influence the model’s decision. The predictions generated from the model were evaluated manually, and after thorough evaluation, we observed that the model performs efficiently in predicting and explaining its prediction. Lastly, we suggest further directions for the expansion of the provided research work. © 2022 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","2022","2024-12-01 10:11:31","2024-12-14 19:55:33","","","","","3457","","","","","","","","CEUR-WS","","English","","","Scopus","","","","Journal Abbreviation: CEUR Workshop Proc.","","","","Interpretable artificial intelligence; Learning systems; Machine-learning; Deep learning; Forecasting; Lime; Interpretability; Natural language processing systems; Speech recognition; Natural languages; Language processing; Speech classification; Text processing; Hate speech; Speech detection; Interpretable AI; Model-agnostic method; Model-agnostic Methods; Post-hoc explainaibility; Post-hoc Explainaibility; manual_BERT; manual_LIME; manual_hate","","Koert D.; Technical Univerity Darmstadt, Department of Computer Science, Hochschulstrasse 10, Darmstadt; Minor M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CEUR Workshop Proceedings","","","","","","","","","","","","","","",""
"9PNYQ5WI","conferencePaper","2022","Babaeianjelodar, M.; Poorna Prudhvi, G.; Lorenz, S.; Chen, K.; Mondal, S.; Dey, S.; Kumar, N.","Interpretable and High-Performance Hate and Offensive Speech Detection","Lect. Notes Comput. Sci.","03029743 (ISSN); 978-303121706-7 (ISBN)","","10.1007/978-3-031-21707-4_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144390230&doi=10.1007%2f978-3-031-21707-4_18&partnerID=40&md5=d06d016492a48955881e7f332bc27414","The spread of information through social media platforms can create environments possibly hostile to vulnerable communities and silence certain groups in society. To mitigate such instances, several models have been developed to detect hate and offensive speech. Since detecting hate and offensive speech in social media platforms could incorrectly exclude individuals from social media platforms, which can reduce trust, there is a need to create explainable and interpretable models. Thus, we build an explainable and interpretable high performance model based on the XGBoost algorithm, trained on Twitter data. For unbalanced Twitter data, XGboost outperformed the LSTM, AutoGluon, and ULMFiT models on hate speech detection with an F1 score of 0.75 compared to 0.38 and 0.37, and 0.38 respectively. When we down-sampled the data to three separate classes of approximately 5,000 tweets, XGBoost performed better than LSTM, AutoGluon, and ULMFiT; with F1 scores for hate speech detection of 0.79 vs 0.69, 0.77, and 0.66 respectively. XGBoost also performed better than LSTM, AutoGluon, and ULMFiT in the down-sampled version for offensive speech detection with F1 score of 0.83 vs 0.88, 0.82, and 0.79 respectively. We use Shapley Additive Explanations (SHAP) on our XGBoost models’ outputs to makes it explainable and interpretable compared to LSTM, AutoGluon and ULMFiT that are black-box models. © 2022, Springer Nature Switzerland AG.","2022","2024-12-01 10:11:31","2024-12-14 20:21:30","","233-244","","","13518 LNCS","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","Journal Abbreviation: Lect. Notes Comput. Sci.","","","","Transparency; Machine-learning; Social media platforms; Social networking (online); Long short-term memory; Machine learning; Natural language processing systems; Speech recognition; Natural languages; Performance; Language processing; Natural language processing; Xgboost; XGBoost; Speech detection; Hate; Offensive; manual_SHAP; manual_XGBoost; manual_hate","","Chen J.Y.; Fragomeni G.; Degen H.; Ntoa S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","","","","","","","","","","","","",""
"W8JCP38P","journalArticle","2024","Benslimane, S.; Papastergiou, T.; Azé, J.; Bringay, S.; Servajean, M.; Mollevi, C.","A SHAP-based controversy analysis through communities on Twitter","World Wide Web","","1386145X (ISSN)","10.1007/s11280-024-01278-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204002351&doi=10.1007%2fs11280-024-01278-z&partnerID=40&md5=b1f6fbf5d4ee1c74f1efb6befb1171a2","Controversy encompasses content that draws diverse perspectives, along with positive and negative feedback on a specific event, resulting in the formation of distinct user communities. we explore the explainability of controversy through the lens of SHAP (SHapley Additive exPlanations) method, aiming to provide a fair assessment of the individual contributions of different text features of tweets to controversy detection. We conduct an analysis of topic discussions on Twitter from a community perspective, investigating the role of text in accurately classifying tweets into their respective communities. To achieve this, we introduce a SHAP-based pipeline designed to quantify the influence of impactful text features on the predictions of three tweet classifiers. Text content alone offers interesting controversy detection accuracy. It can contain predictive features for controversy detection. For instance, negative connotations, pejorative tendencies and positive qualifying adjectives tend to impact the controversy model detection. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","2024","2024-12-01 10:11:27","2024-12-14 18:48:34","","","","5","27","","World Wide Web","","","","","","","","English","","","Scopus","","","","Publisher: Springer","","","","Machine-learning; Social networking (online); Machine learning; Explainability; SHAP; Shapley; Shapley additive explanation; User communities; Analysis; Analyze; Communities; Community; Controversy; Text feature; Through the lens; Tweets; manual_BERT; manual_SHAP; manual_controversy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEBV3XVX","bookSection","2024","Tiwari, R.S.","Hate speech detection using LSTM and explanation by LIME (local interpretable model-agnostic explanations)","Computational Intelligence Methods for Sentiment Analysis in Natural Language Processing Applications","978-044322009-8 (ISBN); 978-044322010-4 (ISBN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191118592&doi=10.1016%2fB978-0-443-22009-8.00005-7&partnerID=40&md5=6d5e0d8a280005ef9fb5af62215a024c","Nowadays, Social Media has a very high impact on everyone’s lives. Social media platforms such as Twitter, Facebook, and Instagram are open platforms where people can express their feelings, thoughts, and emotions. This can lead to a variety of opinions—can collide and lead to verbal conflicts. Therefore, it’s necessary to make social media sites safe by identifying and eliminating hate speech. Any statement that disparages an individual or a group based on a trait such as race, color, ethnicity, gender, sexual orientation, nationality, religion, or another attribute is referred to as hate speeches. Several countries or group of countries such as India, USA, France, Canada, European Unions, and several others have created code of conduct to ensure that social media platforms must regulate any kind of hateful speech, which can disturb the normal functioning of our society and mitigate the risk of any unrest by using social media as a platform. In recent years, we have several examples where fake as well as hate speech on social media has created chaos in real life. Therefore, there is a strict need for an automated methodology to automatically detect and remove hate speech, which can lead to the disturbance in our society. The automated methodology should also be able to provide the clear reason why the specific sentence or the word was detected as hate speech. In this chapter, we will implement a Deep Learning algorithm, that is, Long Short Term Memory to identify hate speech from Twitter speech data, we will be using preprocessing techniques such as Bag of Words, Term Frequency–Inverse Document Frequency, and Glove word embedding by implementing Tensorflow data Pipeline. After training these models, we will compare these models, and based on the metric, we will select all the trained models and implement XAI Explainable Artificial Intelligence known as Local Interpretable Model–Agnostic Explanation to unravel the selected model to understand why the black-box model is associating the datapoint with the specific class. We will discuss theoretical as well as the implementation with the help of python Tensorflow in depth. © 2024 Elsevier Inc. All rights reserved.","2024","2024-12-01 10:11:27","2024-12-14 20:07:44","","93-110","","","","","","","","","","","Elsevier","","English","","","Scopus","","","","Journal Abbreviation: Computational Intelligence Methods for Sentiment Analysis in Natural Language Processing Applications DOI: 10.1016/B978-0-443-22009-8.00005-7","","","","XAI; LIME; Hate speech detection; bag of words; glove; LSTM; TF-IDF; manual_LSTM; manual_LIME; manual_hate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Q262JSF","conferencePaper","2023","Yong, W.Y.; Jaiswal, R.; Perez Tellez, F.","Explainability in NLP model: Detection of Covid-19 Twitter Fake News","ACM Int. Conf. Proc. Ser.","979-840071646-1 (ISBN)","","10.1145/3633083.3633212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183315833&doi=10.1145%2f3633083.3633212&partnerID=40&md5=fc0256110a16d9e5de818347f2d62a85","Fake news has found fertile ground on social media. A global health crisis such as COVID-19 further helps propagate fake news on social media. Much research has been done to develop AI systems that classify news as real or fake. However, there is a growing concern about trust in these AI systems. To this end, we attempt to improve the trustworthiness of AI text classification systems. We use tools to explore data, explain feature extraction techniques, interpret the ML models implemented, and explain the decision-making progress of AI systems. In this study, we compared five ML classifiers for our experiments: Naive Bayes, Support Vector Machines (SVMs), Logistic Regression, Decision Tree, and Random Forest. The models were trained on 10700 tweets containing 5,600 real and 5,100 fake tweets related to COVID-19. In comparison, the SVMs model performance was the best, with a detection accuracy of 0.93 and F1 scores of 0.94 and 0.93 for real and fake news, respectively. Global and local explanations are included to understand the overall model behavior, ensuring transparency and fostering confidence in AI users. We have chosen the SVMs model for the explanation section as it was the best model in this study.  © 2023 ACM.","2023","2024-12-01 10:11:27","2024-12-14 19:28:27","","29-35","","","","","","","","","","","Association for Computing Machinery","","English","","","Scopus","","","","Journal Abbreviation: ACM Int. Conf. Proc. Ser.","","","","Fake news detection; Machine-learning; Social networking (online); Classification (of information); Fake detection; Natural language processing systems; COVID-19; Natural languages; Decision trees; Random forests; Language processing; Natural language processing; Text processing; AI systems; Covid-19 news; Covid-19 News; Explainable AI(XAI); Fake News Detection; Learning classifiers; Logistic regression; Machine learning classifier; Machine Learning Classifier; Natural Language Processing(NLP); Support vector regression; manual_LIME; manual_fake_news; manual_SVM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM International Conference Proceeding Series","","","","","","","","","","","","","","",""
"Y5Y8CBTK","journalArticle","2024","Mohammadi, H.; Giachanou, A.; Bagheri, A.","A Transparent Pipeline for Identifying Sexism in Social Media: Combining Explainability with Model Prediction","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app14198620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206578936&doi=10.3390%2fapp14198620&partnerID=40&md5=fe563f66283c0d4d4eb91450e55cf118","Featured Application: We show illustrative examples of sexist language to describe the taxonomy and explainability analysis. In this study, we present a new approach that combines multiple Bidirectional Encoder Representations from Transformers (BERT) architectures with a Convolutional Neural Network (CNN) framework designed for sexism detection in text at a granular level. Our method relies on the analysis and identification of the most important terms contributing to sexist content using Shapley Additive Explanations (SHAP) values. This approach involves defining a range of Sexism Scores based on both model predictions and explainability, moving beyond binary classification to provide a deeper understanding of the sexism-detection process. Additionally, it enables us to identify specific parts of a sentence and their respective contributions to this range, which can be valuable for decision makers and future research. In conclusion, this study introduces an innovative method for enhancing the clarity of large language models (LLMs), which is particularly relevant in sensitive domains such as sexism detection. The incorporation of explainability into the model represents a significant advancement in this field. The objective of our study is to bridge the gap between advanced technology and human comprehension by providing a framework for creating AI models that are both efficient and transparent. This approach could serve as a pipeline for future studies to incorporate explainability into language models. © 2024 by the authors.","2024","2024-12-01 10:11:27","2024-12-14 18:48:50","","","","19","14","","Appl. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","","","Natural language processing systems; Natural languages; Convolutional neural networks; Language processing; Natural language processing; Economic and social effects; Language model; Large language model; ensemble model; Ensemble models; explainable AI (XAI); Explainable AI (XAI); large language models (LLMs); Model prediction; natural language processing (NLP); Prediction models; sexism detection; Sexism detection; Shapley value; Shapley values; manual_SHAP; manual_BERT_w_CNN; manual_sexism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYRNXPU3","journalArticle","2024","Siddiqui, J.A.; Yuhaniz, S.S.; Shaikh, G.M.; Soomro, S.A.; Mahar, Z.A.","Fine-Grained Multilingual Hate Speech Detection Using Explainable AI and Transformers","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2024.3470901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205881382&doi=10.1109%2fACCESS.2024.3470901&partnerID=40&md5=c2fb31732085a864b941e9c70fe2f635","The detection of hate speech on online platforms is essential for maintaining safe and inclusive digital environments. Although significant progress has been made in binary classification for hate speech detection, challenges persist in multilingual and fine-grained classification. This study presents a comprehensive model for hate speech detection across English, Urdu, and Sindhi, utilizing advanced deep learning models like Bidirectional Encoder Representations from Transformers (BERT) and its multilingual variants. Additionally, the research employs Explainable Artificial Intelligence (XAI) techniques, such as Local Interpretable Model-Agnostic Explanations (LIME), to gain insights into model performance. This work curated a multilingual hate speech detection dataset and a robust fine-grained hate speech detection model. The dataset includes non-hate and hate speech classes. Furthermore, the hate speech class is categorized into five fine-grained categories, including Disability, Gender, Nationality, Race, and Religion. The experimental findings of this study showed 91% F-score in binary class classification and 86% weighted F-score in fine-grained hate speech detection for multilingual datasets using XLM-RoBERTa technique. Notably, the Religion class achieved the highest F-score of 92%. It is believed that this study contributes to reducing the spread of hate speech (written in Either Urdu, English, or Sindhi) on various social media platforms.  © 2024 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 License.","2024","2024-12-01 10:11:27","2024-12-14 20:05:13","","143177-143192","","","12","","IEEE Access","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","","","Explainable AI; Deep learning; Language model; hate speech; Hate speech; Speech detection; Fine grained; Large language model; explainable AI; Adversarial machine learning; Contrastive Learning; Digital environment; Distribution transformers; large language model; Low resource languages; low-resource language; Online platforms; manual_BERT; manual_LIME; manual_hate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
